transcript_id	gene_id	transcript_biotype	gene_name
ENSRNOT00000087667	ENSRNOG00000070168	protein_coding	Or51f23c-ps1
ENSRNOT00000119508	ENSRNOG00000070901	protein_coding	Irgq
ENSRNOT00000024353	ENSRNOG00000018029	protein_coding	Doc2g
ENSRNOT00000045306	ENSRNOG00000031391	protein_coding	Ceacam16
ENSRNOT00000075346	ENSRNOG00000050129	protein_coding	AABR07000137.1
ENSRNOT00000026088	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000099999	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000094997	ENSRNOG00000032625	protein_coding	Zfp108
ENSRNOT00000050814	ENSRNOG00000029315	protein_coding	LOC690251
ENSRNOT00000119131	ENSRNOG00000016356	protein_coding	Got1
ENSRNOT00000022309	ENSRNOG00000016356	protein_coding	Got1
ENSRNOT00000031397	ENSRNOG00000028288	protein_coding	Clrn3
ENSRNOT00000081471	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000021532	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000112286	ENSRNOG00000015810	protein_coding	Trip13
ENSRNOT00000023610	ENSRNOG00000017538	protein_coding	Lrrc27
ENSRNOT00000049631	ENSRNOG00000017538	protein_coding	Lrrc27
ENSRNOT00000034389	ENSRNOG00000027204	protein_coding	Map6
ENSRNOT00000118262	ENSRNOG00000027204	protein_coding	Map6
ENSRNOT00000049686	ENSRNOG00000069410	protein_coding	Or2ag2
ENSRNOT00000040740	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000083287	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000114879	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000107917	ENSRNOG00000014903	protein_coding	Zfyve27
ENSRNOT00000088190	ENSRNOG00000064304	protein_coding	Or5b107
ENSRNOT00000028588	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000100389	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000115939	ENSRNOG00000021051	protein_coding	Cyth2
ENSRNOT00000015084	ENSRNOG00000011160	protein_coding	Sv2b
ENSRNOT00000054887	ENSRNOG00000017748	protein_coding	Nkx6-2
ENSRNOT00000022406	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000107315	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000083316	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000109827	ENSRNOG00000016227	protein_coding	Glrx3
ENSRNOT00000018233	ENSRNOG00000013395	protein_coding	Pglyrp1
ENSRNOT00000022879	ENSRNOG00000016906	protein_coding	Lipt2
ENSRNOT00000115981	ENSRNOG00000070448	protein_coding	Or5b114
ENSRNOT00000045360	ENSRNOG00000065290	protein_coding	Or2d3
ENSRNOT00000029587	ENSRNOG00000027582	protein_coding	Dpysl4
ENSRNOT00000042245	ENSRNOG00000070096	protein_coding	Or14n1
ENSRNOT00000013031	ENSRNOG00000009830	protein_coding	Fam204a
ENSRNOT00000017019	ENSRNOG00000012742	protein_coding	Irx2
ENSRNOT00000048699	ENSRNOG00000063184	protein_coding	Or2d3c
ENSRNOT00000018495	ENSRNOG00000013767	protein_coding	Ccdc61
ENSRNOT00000117400	ENSRNOG00000063387	protein_coding	Or13a27d
ENSRNOT00000120149	ENSRNOG00000063387	protein_coding	Or13a27d
ENSRNOT00000068459	ENSRNOG00000032699	protein_coding	Ttyh1
ENSRNOT00000106376	ENSRNOG00000032699	protein_coding	Ttyh1
ENSRNOT00000103317	ENSRNOG00000032699	protein_coding	Ttyh1
ENSRNOT00000024829	ENSRNOG00000018408	protein_coding	RGD1307554
ENSRNOT00000077968	ENSRNOG00000018408	protein_coding	RGD1307554
ENSRNOT00000043307	ENSRNOG00000030782	protein_coding	Or10a49
ENSRNOT00000021971	ENSRNOG00000016421	protein_coding	Tyr
ENSRNOT00000024690	ENSRNOG00000018334	protein_coding	Ctu1
ENSRNOT00000034610	ENSRNOG00000014726	protein_coding	Acsm4
ENSRNOT00000110261	ENSRNOG00000023407	protein_coding	Mrpl36
ENSRNOT00000029531	ENSRNOG00000023407	protein_coding	Mrpl36
ENSRNOT00000072992	ENSRNOG00000023407	protein_coding	Mrpl36
ENSRNOT00000051289	ENSRNOG00000061890	protein_coding	Ust5r
ENSRNOT00000050010	ENSRNOG00000061890	protein_coding	Ust5r
ENSRNOT00000077408	ENSRNOG00000061890	protein_coding	Ust5r
ENSRNOT00000014552	ENSRNOG00000010529	protein_coding	Thbs2
ENSRNOT00000111604	ENSRNOG00000012684	protein_coding	Bloc1s2
ENSRNOT00000090755	ENSRNOG00000012684	protein_coding	Bloc1s2
ENSRNOT00000017006	ENSRNOG00000012684	protein_coding	Bloc1s2
ENSRNOT00000104840	ENSRNOG00000067027	protein_coding	LOC108349691
ENSRNOT00000088431	ENSRNOG00000019416	protein_coding	Zfp94
ENSRNOT00000110811	ENSRNOG00000019416	protein_coding	Zfp94
ENSRNOT00000115645	ENSRNOG00000019416	protein_coding	Zfp94
ENSRNOT00000105628	ENSRNOG00000019416	protein_coding	Zfp94
ENSRNOT00000026252	ENSRNOG00000019416	protein_coding	Zfp94
ENSRNOT00000023325	ENSRNOG00000017366	protein_coding	Or56a5
ENSRNOT00000098342	ENSRNOG00000066101	protein_coding	LOC100911574
ENSRNOT00000101208	ENSRNOG00000063217	protein_coding	Rrlt
ENSRNOT00000111264	ENSRNOG00000063217	protein_coding	Rrlt
ENSRNOT00000054808	ENSRNOG00000036631	protein_coding	Ptgdr2
ENSRNOT00000044183	ENSRNOG00000016659	protein_coding	Habp2
ENSRNOT00000022382	ENSRNOG00000016659	protein_coding	Habp2
ENSRNOT00000020077	ENSRNOG00000014946	protein_coding	AABR07005588.1
ENSRNOT00000084389	ENSRNOG00000014946	protein_coding	AABR07005588.1
ENSRNOT00000083551	ENSRNOG00000020318	protein_coding	Pnkp
ENSRNOT00000116508	ENSRNOG00000020318	protein_coding	Pnkp
ENSRNOT00000051640	ENSRNOG00000020318	protein_coding	Pnkp
ENSRNOT00000071842	ENSRNOG00000047406	protein_coding	Cfap90
ENSRNOT00000073233	ENSRNOG00000050445	protein_coding	Gde1
ENSRNOT00000043023	ENSRNOG00000031110	protein_coding	Or51f4
ENSRNOT00000022226	ENSRNOG00000016597	protein_coding	AABR07006081.1
ENSRNOT00000025829	ENSRNOG00000018953	protein_coding	Cblc
ENSRNOT00000110504	ENSRNOG00000018953	protein_coding	Cblc
ENSRNOT00000092048	ENSRNOG00000018953	protein_coding	Cblc
ENSRNOT00000114512	ENSRNOG00000062564	protein_coding	LOC120098765
ENSRNOT00000077441	ENSRNOG00000018940	protein_coding	Slc28a1
ENSRNOT00000025621	ENSRNOG00000018940	protein_coding	Slc28a1
ENSRNOT00000018696	ENSRNOG00000013945	protein_coding	Itpkc
ENSRNOT00000100648	ENSRNOG00000013945	protein_coding	Itpkc
ENSRNOT00000029197	ENSRNOG00000033706	protein_coding	Klk14
ENSRNOT00000045531	ENSRNOG00000031947	protein_coding	LOC100361060
ENSRNOT00000022193	ENSRNOG00000016565	protein_coding	Zfp524
ENSRNOT00000075730	ENSRNOG00000061455	protein_coding	Or5b116b
ENSRNOT00000025949	ENSRNOG00000019138	protein_coding	Clec11a
ENSRNOT00000113316	ENSRNOG00000019138	protein_coding	Clec11a
ENSRNOT00000020678	ENSRNOG00000015424	protein_coding	Or51f2
ENSRNOT00000017615	ENSRNOG00000013198	protein_coding	Or9q2
ENSRNOT00000026263	ENSRNOG00000065649	protein_coding	Zfp94
ENSRNOT00000073539	ENSRNOG00000053559	protein_coding	Or5b123b
ENSRNOT00000075021	ENSRNOG00000050663	protein_coding	Or51h5
ENSRNOT00000094414	ENSRNOG00000064423	protein_coding	LOC685793
ENSRNOT00000104569	ENSRNOG00000064423	protein_coding	LOC685793
ENSRNOT00000096107	ENSRNOG00000064423	protein_coding	LOC685793
ENSRNOT00000103335	ENSRNOG00000016574	protein_coding	Fiz1
ENSRNOT00000022236	ENSRNOG00000016574	protein_coding	Fiz1
ENSRNOT00000052350	ENSRNOG00000032137	protein_coding	Foxb2
ENSRNOT00000088746	ENSRNOG00000055608	protein_coding	LOC102548695
ENSRNOT00000072815	ENSRNOG00000048436	protein_coding	Or51t1
ENSRNOT00000019053	ENSRNOG00000013641	protein_coding	Myo7a
ENSRNOT00000103282	ENSRNOG00000013641	protein_coding	Myo7a
ENSRNOT00000027575	ENSRNOG00000020347	protein_coding	Nup98
ENSRNOT00000117464	ENSRNOG00000020347	protein_coding	Nup98
ENSRNOT00000027590	ENSRNOG00000020347	protein_coding	Nup98
ENSRNOT00000022895	ENSRNOG00000016837	protein_coding	Ckm
ENSRNOT00000102968	ENSRNOG00000068222	protein_coding	LOC100910657
ENSRNOT00000039453	ENSRNOG00000025953	protein_coding	LOC681006
ENSRNOT00000114359	ENSRNOG00000025953	protein_coding	LOC681006
ENSRNOT00000049057	ENSRNOG00000061525	protein_coding	RGD1562011
ENSRNOT00000051894	ENSRNOG00000034083	protein_coding	Or51a7b
ENSRNOT00000022349	ENSRNOG00000016608	protein_coding	Zfp579
ENSRNOT00000027745	ENSRNOG00000027112	protein_coding	MGC114499
ENSRNOT00000016959	ENSRNOG00000012730	protein_coding	Lrrk1
ENSRNOT00000106564	ENSRNOG00000012730	protein_coding	Lrrk1
ENSRNOT00000117561	ENSRNOG00000018117	protein_coding	Ndufv1
ENSRNOT00000024517	ENSRNOG00000018117	protein_coding	Ndufv1
ENSRNOT00000017572	ENSRNOG00000063952	protein_coding	Or10w1
ENSRNOT00000021893	ENSRNOG00000016362	protein_coding	Gpr4
ENSRNOT00000097129	ENSRNOG00000063054	protein_coding	LOC108349838
ENSRNOT00000029537	ENSRNOG00000013671	protein_coding	Vom2r9
ENSRNOT00000095166	ENSRNOG00000017307	protein_coding	Prss23
ENSRNOT00000080927	ENSRNOG00000017307	protein_coding	Prss23
ENSRNOT00000023239	ENSRNOG00000017307	protein_coding	Prss23
ENSRNOT00000115268	ENSRNOG00000017307	protein_coding	Prss23
ENSRNOT00000020953	ENSRNOG00000015649	protein_coding	Or51a7
ENSRNOT00000097781	ENSRNOG00000020942	protein_coding	Plekha4
ENSRNOT00000028423	ENSRNOG00000020942	protein_coding	Plekha4
ENSRNOT00000098814	ENSRNOG00000020942	protein_coding	Plekha4
ENSRNOT00000040608	ENSRNOG00000032600	protein_coding	Or10q12
ENSRNOT00000103268	ENSRNOG00000017749	protein_coding	Nkg7
ENSRNOT00000023942	ENSRNOG00000017749	protein_coding	Nkg7
ENSRNOT00000022963	ENSRNOG00000017079	protein_coding	Pgm2l1
ENSRNOT00000024251	ENSRNOG00000017795	protein_coding	Hspbp1
ENSRNOT00000106245	ENSRNOG00000068787	protein_coding	Or13a26c
ENSRNOT00000020969	ENSRNOG00000015657	protein_coding	Or51g2
ENSRNOT00000028476	ENSRNOG00000042133	protein_coding	LOC690862
ENSRNOT00000046384	ENSRNOG00000031648	protein_coding	Or5b12b
ENSRNOT00000116082	ENSRNOG00000027542	protein_coding	LOC100302465
ENSRNOT00000091863	ENSRNOG00000027542	protein_coding	LOC100302465
ENSRNOT00000073836	ENSRNOG00000027542	protein_coding	LOC100302465
ENSRNOT00000038122	ENSRNOG00000027542	protein_coding	LOC100302465
ENSRNOT00000012919	ENSRNOG00000009748	protein_coding	Or5p68
ENSRNOT00000056490	ENSRNOG00000037333	protein_coding	Cldnd2
ENSRNOT00000107523	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000030327	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000116457	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000096217	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000078841	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000094990	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000114799	ENSRNOG00000021478	protein_coding	Tpd52l1
ENSRNOT00000023483	ENSRNOG00000017330	protein_coding	AC103221.1
ENSRNOT00000113120	ENSRNOG00000062409	protein_coding	Or13a25
ENSRNOT00000103812	ENSRNOG00000062409	protein_coding	Or13a25
ENSRNOT00000116242	ENSRNOG00000069157	protein_coding	Chchd4
ENSRNOT00000110137	ENSRNOG00000069767	protein_coding	Vom2r6
ENSRNOT00000041332	ENSRNOG00000069767	protein_coding	Vom2r6
ENSRNOT00000113016	ENSRNOG00000069767	protein_coding	Vom2r6
ENSRNOT00000070942	ENSRNOG00000069767	protein_coding	Vom2r6
ENSRNOT00000044187	ENSRNOG00000069767	protein_coding	Vom2r6
ENSRNOT00000059845	ENSRNOG00000015230	protein_coding	Ermard
ENSRNOT00000119249	ENSRNOG00000015230	protein_coding	Ermard
ENSRNOT00000084882	ENSRNOG00000017069	protein_coding	Mark4
ENSRNOT00000118826	ENSRNOG00000017069	protein_coding	Mark4
ENSRNOT00000023392	ENSRNOG00000017069	protein_coding	Mark4
ENSRNOT00000112820	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000120182	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000102678	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000028535	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000119247	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000094739	ENSRNOG00000021013	protein_coding	Stx3
ENSRNOT00000108957	ENSRNOG00000033009	protein_coding	Or13g1
ENSRNOT00000118969	ENSRNOG00000033009	protein_coding	Or13g1
ENSRNOT00000110200	ENSRNOG00000033009	protein_coding	Or13g1
ENSRNOT00000047063	ENSRNOG00000033009	protein_coding	Or13g1
ENSRNOT00000049036	ENSRNOG00000067419	protein_coding	Or51f1f
ENSRNOT00000118840	ENSRNOG00000018677	protein_coding	Akt2
ENSRNOT00000025303	ENSRNOG00000018677	protein_coding	Akt2
ENSRNOT00000105853	ENSRNOG00000018677	protein_coding	Akt2
ENSRNOT00000100544	ENSRNOG00000018677	protein_coding	Akt2
ENSRNOT00000106071	ENSRNOG00000069344	protein_coding	Or5b96
ENSRNOT00000026100	ENSRNOG00000019207	protein_coding	Shank1
ENSRNOT00000044257	ENSRNOG00000019207	protein_coding	Shank1
ENSRNOT00000092327	ENSRNOG00000019207	protein_coding	Shank1
ENSRNOT00000104599	ENSRNOG00000019207	protein_coding	Shank1
ENSRNOT00000024803	ENSRNOG00000018394	protein_coding	Chrdl2
ENSRNOT00000101177	ENSRNOG00000018394	protein_coding	Chrdl2
ENSRNOT00000021098	ENSRNOG00000015760	protein_coding	Or51l1
ENSRNOT00000112878	ENSRNOG00000070234	protein_coding	Zfp141
ENSRNOT00000051124	ENSRNOG00000030326	protein_coding	Or5b24
ENSRNOT00000038038	ENSRNOG00000016714	protein_coding	Nrap
ENSRNOT00000038017	ENSRNOG00000016714	protein_coding	Nrap
ENSRNOT00000115960	ENSRNOG00000016714	protein_coding	Nrap
ENSRNOT00000101073	ENSRNOG00000016714	protein_coding	Nrap
ENSRNOT00000051727	ENSRNOG00000062789	protein_coding	Or13a26b
ENSRNOT00000109061	ENSRNOG00000062789	protein_coding	Or13a26b
ENSRNOT00000021102	ENSRNOG00000015764	protein_coding	Or51p1
ENSRNOT00000021366	ENSRNOG00000015734	protein_coding	Ube3a
ENSRNOT00000083587	ENSRNOG00000015734	protein_coding	Ube3a
ENSRNOT00000108441	ENSRNOG00000015734	protein_coding	Ube3a
ENSRNOT00000088514	ENSRNOG00000066619	protein_coding	Or6f1
ENSRNOT00000045582	ENSRNOG00000066619	protein_coding	Or6f1
ENSRNOT00000089953	ENSRNOG00000066931	protein_coding	Or5b100
ENSRNOT00000117722	ENSRNOG00000069276	protein_coding	LOC102548320
ENSRNOT00000096604	ENSRNOG00000069276	protein_coding	LOC102548320
ENSRNOT00000021115	ENSRNOG00000015769	protein_coding	Or52e2
ENSRNOT00000080145	ENSRNOG00000057094	protein_coding	Or5b104
ENSRNOT00000079498	ENSRNOG00000027808	protein_coding	Lilra5
ENSRNOT00000108235	ENSRNOG00000027808	protein_coding	Lilra5
ENSRNOT00000105748	ENSRNOG00000027808	protein_coding	Lilra5
ENSRNOT00000038802	ENSRNOG00000027808	protein_coding	Lilra5
ENSRNOT00000114340	ENSRNOG00000027808	protein_coding	Lilra5
ENSRNOT00000044675	ENSRNOG00000033200	protein_coding	Or52s1b
ENSRNOT00000102935	ENSRNOG00000049772	protein_coding	Gemin7
ENSRNOT00000100949	ENSRNOG00000049772	protein_coding	Gemin7
ENSRNOT00000074418	ENSRNOG00000049772	protein_coding	Gemin7
ENSRNOT00000119328	ENSRNOG00000049772	protein_coding	Gemin7
ENSRNOT00000078998	ENSRNOG00000053859	protein_coding	Ranbp6
ENSRNOT00000048411	ENSRNOG00000030275	protein_coding	Or52s1
ENSRNOT00000025580	ENSRNOG00000018915	protein_coding	Tagap
ENSRNOT00000027580	ENSRNOG00000020358	protein_coding	Ptov1
ENSRNOT00000119884	ENSRNOG00000064903	protein_coding	Apbh
ENSRNOT00000079650	ENSRNOG00000058869	protein_coding	AABR07006740.1
ENSRNOT00000089359	ENSRNOG00000053502	protein_coding	Arhgef17
ENSRNOT00000102090	ENSRNOG00000053502	protein_coding	Arhgef17
ENSRNOT00000029444	ENSRNOG00000021442	protein_coding	Hddc2
ENSRNOT00000021131	ENSRNOG00000015785	protein_coding	Or52e3
ENSRNOT00000118154	ENSRNOG00000014278	protein_coding	Zfp710
ENSRNOT00000064034	ENSRNOG00000014278	protein_coding	Zfp710
ENSRNOT00000074579	ENSRNOG00000049605	protein_coding	Zfp296
ENSRNOT00000092985	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000098119	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000092999	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000095788	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000107055	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000054742	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000093050	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000092928	ENSRNOG00000024016	protein_coding	LOC120093077
ENSRNOT00000080065	ENSRNOG00000022921	protein_coding	Dact2
ENSRNOT00000035125	ENSRNOG00000022921	protein_coding	Dact2
ENSRNOT00000116341	ENSRNOG00000022921	protein_coding	Dact2
ENSRNOT00000115787	ENSRNOG00000022921	protein_coding	Dact2
ENSRNOT00000089962	ENSRNOG00000054856	protein_coding	Or5bb12
ENSRNOT00000051853	ENSRNOG00000015902	protein_coding	Cpxm2
ENSRNOT00000101166	ENSRNOG00000020624	protein_coding	Acadsb
ENSRNOT00000027999	ENSRNOG00000020624	protein_coding	Acadsb
ENSRNOT00000098561	ENSRNOG00000020624	protein_coding	Acadsb
ENSRNOT00000112423	ENSRNOG00000020624	protein_coding	Acadsb
ENSRNOT00000018860	ENSRNOG00000013981	protein_coding	Ptpn5
ENSRNOT00000039822	ENSRNOG00000021290	protein_coding	Or52e19
ENSRNOT00000102551	ENSRNOG00000019942	protein_coding	Fbxo17
ENSRNOT00000027006	ENSRNOG00000019942	protein_coding	Fbxo17
ENSRNOT00000054852	ENSRNOG00000021912	protein_coding	Gpr152
ENSRNOT00000040672	ENSRNOG00000030818	protein_coding	C1h11orf42
ENSRNOT00000093436	ENSRNOG00000062307	protein_coding	Vmn2r116l-ps24
ENSRNOT00000111903	ENSRNOG00000062307	protein_coding	Vmn2r116l-ps24
ENSRNOT00000096391	ENSRNOG00000062307	protein_coding	Vmn2r116l-ps24
ENSRNOT00000024111	ENSRNOG00000017930	protein_coding	Lpcat1
ENSRNOT00000108874	ENSRNOG00000017930	protein_coding	Lpcat1
ENSRNOT00000056515	ENSRNOG00000043280	protein_coding	Vom2r37
ENSRNOT00000079028	ENSRNOG00000060826	protein_coding	Or52ab2
ENSRNOT00000051381	ENSRNOG00000068810	protein_coding	Or5an9
ENSRNOT00000117536	ENSRNOG00000070274	protein_coding	Or14a258
ENSRNOT00000057073	ENSRNOG00000019869	protein_coding	Lrfn1
ENSRNOT00000017631	ENSRNOG00000013208	protein_coding	Or9i14
ENSRNOT00000072397	ENSRNOG00000050189	protein_coding	Or52ab2b
ENSRNOT00000039446	ENSRNOG00000023411	protein_coding	Vsig10l
ENSRNOT00000075397	ENSRNOG00000046005	protein_coding	Scd2
ENSRNOT00000080605	ENSRNOG00000018686	protein_coding	Atxn2l
ENSRNOT00000100664	ENSRNOG00000018686	protein_coding	Atxn2l
ENSRNOT00000100297	ENSRNOG00000018686	protein_coding	Atxn2l
ENSRNOT00000068529	ENSRNOG00000018686	protein_coding	Atxn2l
ENSRNOT00000114675	ENSRNOG00000018686	protein_coding	Atxn2l
ENSRNOT00000026839	ENSRNOG00000068139	protein_coding	Samd4b
ENSRNOT00000029224	ENSRNOG00000070788	protein_coding	Or10v9
ENSRNOT00000092117	ENSRNOG00000058906	protein_coding	Ptprh
ENSRNOT00000110756	ENSRNOG00000058906	protein_coding	Ptprh
ENSRNOT00000105693	ENSRNOG00000058906	protein_coding	Ptprh
ENSRNOT00000075766	ENSRNOG00000048810	protein_coding	Or52ab4
ENSRNOT00000023502	ENSRNOG00000017408	protein_coding	Fhip1b
ENSRNOT00000106363	ENSRNOG00000017408	protein_coding	Fhip1b
ENSRNOT00000115036	ENSRNOG00000037393	protein_coding	Wdr88
ENSRNOT00000056583	ENSRNOG00000037393	protein_coding	Wdr88
ENSRNOT00000028482	ENSRNOG00000021794	protein_coding	Znhit2
ENSRNOT00000096177	ENSRNOG00000070568	protein_coding	Vom2r3
ENSRNOT00000085988	ENSRNOG00000013949	protein_coding	Idh2
ENSRNOT00000109065	ENSRNOG00000013949	protein_coding	Idh2
ENSRNOT00000019059	ENSRNOG00000013949	protein_coding	Idh2
ENSRNOT00000114588	ENSRNOG00000013949	protein_coding	Idh2
ENSRNOT00000119209	ENSRNOG00000016103	protein_coding	Nkd2
ENSRNOT00000021898	ENSRNOG00000016103	protein_coding	Nkd2
ENSRNOT00000118428	ENSRNOG00000016103	protein_coding	Nkd2
ENSRNOT00000024758	ENSRNOG00000034012	protein_coding	Klk12
ENSRNOT00000034845	ENSRNOG00000033164	protein_coding	Cyp2b3
ENSRNOT00000055227	ENSRNOG00000036811	protein_coding	Or52s20
ENSRNOT00000056227	ENSRNOG00000020643	protein_coding	Bub3
ENSRNOT00000093995	ENSRNOG00000020643	protein_coding	Bub3
ENSRNOT00000087065	ENSRNOG00000020643	protein_coding	Bub3
ENSRNOT00000028020	ENSRNOG00000020643	protein_coding	Bub3
ENSRNOT00000024547	ENSRNOG00000018217	protein_coding	Syt5
ENSRNOT00000084017	ENSRNOG00000058790	protein_coding	Fam120b
ENSRNOT00000118789	ENSRNOG00000058790	protein_coding	Fam120b
ENSRNOT00000082790	ENSRNOG00000058790	protein_coding	Fam120b
ENSRNOT00000119393	ENSRNOG00000058790	protein_coding	Fam120b
ENSRNOT00000055226	ENSRNOG00000064646	protein_coding	Or52s6
ENSRNOT00000076894	ENSRNOG00000020371	protein_coding	Pgap2
ENSRNOT00000055235	ENSRNOG00000020371	protein_coding	Pgap2
ENSRNOT00000091487	ENSRNOG00000061803	protein_coding	Or12j2b
ENSRNOT00000020417	ENSRNOG00000014996	protein_coding	Katna1
ENSRNOT00000099868	ENSRNOG00000014996	protein_coding	Katna1
ENSRNOT00000039649	ENSRNOG00000067296	protein_coding	LOC108348090
ENSRNOT00000086126	ENSRNOG00000067296	protein_coding	LOC108348090
ENSRNOT00000025055	ENSRNOG00000018742	protein_coding	Klk11
ENSRNOT00000024119	ENSRNOG00000017914	protein_coding	Cavin3
ENSRNOT00000054685	ENSRNOG00000014705	protein_coding	Rbm20
ENSRNOT00000113904	ENSRNOG00000014705	protein_coding	Rbm20
ENSRNOT00000110758	ENSRNOG00000014705	protein_coding	Rbm20
ENSRNOT00000022789	ENSRNOG00000016993	protein_coding	Or52d1
ENSRNOT00000050860	ENSRNOG00000029732	protein_coding	LOC108349792
ENSRNOT00000022790	ENSRNOG00000016812	protein_coding	Adamts16
ENSRNOT00000046645	ENSRNOG00000009932	protein_coding	Mctp2
ENSRNOT00000077049	ENSRNOG00000009932	protein_coding	Mctp2
ENSRNOT00000039531	ENSRNOG00000022353	protein_coding	Klk13
ENSRNOT00000036657	ENSRNOG00000026440	protein_coding	RGD1559891
ENSRNOT00000055216	ENSRNOG00000036807	protein_coding	RGD1562433
ENSRNOT00000090653	ENSRNOG00000020865	protein_coding	Ano1
ENSRNOT00000028329	ENSRNOG00000020865	protein_coding	Ano1
ENSRNOT00000106504	ENSRNOG00000020865	protein_coding	Ano1
ENSRNOT00000114399	ENSRNOG00000020865	protein_coding	Ano1
ENSRNOT00000100080	ENSRNOG00000065706	protein_coding	LOC103693496
ENSRNOT00000101481	ENSRNOG00000065706	protein_coding	LOC103693496
ENSRNOT00000041513	ENSRNOG00000020714	protein_coding	Trpm4
ENSRNOT00000113541	ENSRNOG00000020714	protein_coding	Trpm4
ENSRNOT00000100339	ENSRNOG00000020714	protein_coding	Trpm4
ENSRNOT00000099429	ENSRNOG00000020714	protein_coding	Trpm4
ENSRNOT00000107811	ENSRNOG00000020714	protein_coding	Trpm4
ENSRNOT00000119286	ENSRNOG00000015825	protein_coding	Aurkc
ENSRNOT00000119494	ENSRNOG00000015825	protein_coding	Aurkc
ENSRNOT00000021245	ENSRNOG00000015825	protein_coding	Aurkc
ENSRNOT00000042738	ENSRNOG00000031086	protein_coding	RGD1563931
ENSRNOT00000022852	ENSRNOG00000017016	protein_coding	Ubqlnl
ENSRNOT00000114802	ENSRNOG00000070889	protein_coding	Vom1r1
ENSRNOT00000102699	ENSRNOG00000070889	protein_coding	Vom1r1
ENSRNOT00000020201	ENSRNOG00000014840	protein_coding	Gna14
ENSRNOT00000079174	ENSRNOG00000064970	protein_coding	Zfp939
ENSRNOT00000036203	ENSRNOG00000025060	protein_coding	Nanos1
ENSRNOT00000041215	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000113449	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000107022	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000111912	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000078336	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000115540	ENSRNOG00000030127	protein_coding	Eml2
ENSRNOT00000037405	ENSRNOG00000027098	protein_coding	Sez6l2
ENSRNOT00000118351	ENSRNOG00000027098	protein_coding	Sez6l2
ENSRNOT00000023002	ENSRNOG00000017138	protein_coding	Or52h1
ENSRNOT00000095307	ENSRNOG00000017311	protein_coding	Me3
ENSRNOT00000087067	ENSRNOG00000017311	protein_coding	Me3
ENSRNOT00000023329	ENSRNOG00000017311	protein_coding	Me3
ENSRNOT00000027270	ENSRNOG00000020131	protein_coding	Krtap5-8
ENSRNOT00000050227	ENSRNOG00000019270	protein_coding	P2ry6
ENSRNOT00000108172	ENSRNOG00000019270	protein_coding	P2ry6
ENSRNOT00000116084	ENSRNOG00000019270	protein_coding	P2ry6
ENSRNOT00000111790	ENSRNOG00000019270	protein_coding	P2ry6
ENSRNOT00000107101	ENSRNOG00000019270	protein_coding	P2ry6
ENSRNOT00000094980	ENSRNOG00000066986	protein_coding	Zfp619
ENSRNOT00000106390	ENSRNOG00000066986	protein_coding	Zfp619
ENSRNOT00000067916	ENSRNOG00000018762	protein_coding	Rsph3
ENSRNOT00000116912	ENSRNOG00000015956	protein_coding	Usp29
ENSRNOT00000055721	ENSRNOG00000015956	protein_coding	Usp29
ENSRNOT00000109008	ENSRNOG00000018019	protein_coding	Hspa12a
ENSRNOT00000024548	ENSRNOG00000018019	protein_coding	Hspa12a
