Gene.ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10
ENSG00000160072	58.51	115.96	65.4	258.77	148.85	306.15	64.99	101.83	75.37	30.96
ENSG00000279928	0.55	13.13	0	24.26	5.05	11.96	0.76	0	0	0.45
ENSG00000228037	0	8.75	0.68	56.61	5.05	0	0.76	1.73	0	1.35
ENSG00000142611	9.3	48.13	17.03	190.03	20.18	0	31.74	40.85	35.64	8.97
ENSG00000284616	0	15.32	0.68	0	22.71	4.78	10.58	6.33	2.92	7.63
ENSG00000157911	102.25	223.17	158.06	432.63	431.4	947.14	110.33	130.02	153.07	59.22
ENSG00000269896	16.95	41.57	13.63	44.48	73.16	7.18	15.87	26.46	21.03	6.28
ENSG00000228463	1.64	21.88	5.45	0	55.5	4.78	3.02	17.83	7.59	8.52
ENSG00000260972	0	19.69	0	0	0	0	0	6.33	0	0.45
ENSG00000224340	0	2.19	2.73	0	15.14	0	0.76	1.15	0	0
ENSG00000226374	1.64	24.07	0	109.17	7.57	0	0	3.45	1.17	6.28
ENSG00000229280	0	30.63	2.04	0	5.05	0	0.76	0.58	1.75	4.49
ENSG00000142655	159.67	601.67	245.95	707.57	1001.56	882.56	259.19	263.49	210.32	161.07
ENSG00000232596	0	50.32	0	8.09	17.66	0	3.02	5.75	1.75	2.24
ENSG00000235054	0	24.07	0	0	10.09	0	0	2.88	1.17	3.14
ENSG00000231510	0	6.56	0	0	5.05	69.36	0	2.3	1.17	1.79
ENSG00000149527	108.27	240.67	131.49	440.72	239.67	138.72	139.04	136.35	109.25	170.05
ENSG00000284739	0.55	10.94	0	0	0	0	0	0	0	0.45
ENSG00000171621	100.06	260.36	124.68	210.25	189.21	215.26	102.77	164.54	114.51	47.11
ENSG00000272235	0	21.88	0	32.35	0	0	1.51	2.3	2.34	2.24
ENSG00000284694	1.09	50.32	6.13	0	20.18	4.78	6.8	10.36	5.26	1.79
ENSG00000224387	0	26.25	0	0	0	26.31	0	1.15	0	2.24
ENSG00000285629	0.55	0	0	0	0	0	0.76	0	1.17	0
ENSG00000173673	0	0	0	0	0	0	0	1.15	0	0.45
ENSG00000142583	6.01	48.13	3.41	0	27.75	62.19	3.78	16.11	7.59	7.63
ENSG00000284674	0.55	28.44	0	84.91	0	0	1.51	5.75	0.58	4.04
ENSG00000224338	1.09	6.56	0.68	0	7.57	0	0	2.3	1.17	0.9
ENSG00000116786	503.6	728.57	572.29	3024.38	1687.77	1937.33	730.73	882.51	713.34	322.59
ENSG00000287727	6.01	2.19	2.04	68.74	10.09	23.92	3.02	2.3	2.34	1.35
ENSG00000286448	0	2.19	0.68	0	0	0	0	3.45	0	0.45
ENSG00000284703	1.09	80.95	3.41	133.43	70.64	26.31	2.27	6.9	7.59	8.97
ENSG00000226457	0.55	26.25	4.09	4.04	7.57	16.74	0	4.6	1.75	1.79
ENSG00000173614	60.69	144.4	68.81	448.8	80.73	322.89	71.03	81.69	97.57	54.29
ENSG00000215720	0	4.38	2.04	16.17	7.57	2.39	0.76	5.75	2.34	4.04
ENSG00000241326	0	0	0	0	0	0	0	0	0	0
ENSG00000233623	0	2.19	0	0	0	0	0	0.58	0	0
ENSG00000162592	4.92	37.19	2.04	36.39	30.27	0	5.29	10.36	4.67	2.69
ENSG00000116254	233.48	564.48	224.15	1516.23	630.71	983.02	59.7	100.68	75.95	28.27
ENSG00000204624	195.75	275.68	282.05	929.96	890.56	1267.64	113.35	120.24	124.44	190.24
ENSG00000142606	17.5	78.76	8.86	0	40.37	0	9.82	11.51	12.27	9.87
ENSG00000225931	0	0	0	0	0	0	0	0	0	0
ENSG00000171729	35	89.7	36.79	133.43	70.64	81.32	83.88	102.98	94.06	26.47
ENSG00000279457	12.03	0	17.71	0	12.61	55.01	8.31	8.63	11.68	6.28
ENSG00000162571	0.55	19.69	0.68	0	10.09	0	2.27	5.18	2.92	3.14
ENSG00000229393	0	6.56	0	76.82	0	0	1.51	0.58	2.92	1.35
ENSG00000037637	281.05	531.66	376.07	1330.24	910.74	1473.33	387.66	481.53	440.51	189.34
ENSG00000287586	1.64	32.82	2.04	0	20.18	129.16	3.02	10.93	7.01	8.08
ENSG00000159423	62.34	87.52	98.79	266.86	227.05	303.75	57.43	87.45	78.87	67.3
ENSG00000227169	0	0	0	24.26	5.05	0	0	0	1.17	0
ENSG00000283356	0	8.75	0	0	0	0	0	1.73	0	0
ENSG00000011021	697.17	1111.45	944.27	3602.57	2828.09	3927.28	520.65	692.66	549.18	332.91
ENSG00000142615	1.64	32.82	2.73	0	2.52	4.78	3.02	5.75	0.58	2.24
ENSG00000215704	0.55	35.01	2.04	12.13	2.52	0	0	9.78	2.92	0.9
ENSG00000157916	224.73	374.13	247.99	1026.99	686.21	1449.41	353.65	334.82	325.42	127.42
ENSG00000157881	209.42	601.67	307.26	925.91	845.15	817.98	197.98	257.73	233.11	161.52
ENSG00000238290	7.66	207.85	6.81	157.69	47.93	0	12.09	14.96	2.92	10.77
ENSG00000225387	0	6.56	0	44.48	0	0	0	0	0	0
ENSG00000048707	306.21	1013	353.59	2130.81	1188.25	2102.36	330.23	451.61	339.44	270.55
ENSG00000225196	0	0	0	0	10.09	0	0	1.15	0	0
ENSG00000162444	2.19	21.88	2.73	0	0	2.39	5.29	9.2	5.26	3.59
ENSG00000279625	0	4.38	0	0	0	0	3.02	0	0	0.9
ENSG00000180758	7.11	54.7	10.22	60.65	27.75	35.88	21.91	35.67	28.04	4.94
ENSG00000184677	240.04	522.91	273.2	1722.44	928.4	839.51	247.86	376.82	269.33	124.73
ENSG00000288398	55.23	148.78	56.55	408.37	290.12	172.21	46.1	72.49	62.51	40.83
ENSG00000224621	0	21.88	1.36	0	10.09	0	1.51	2.88	0	1.79
ENSG00000285833	1.09	10.94	0	0	0	0	0	0	0	0
ENSG00000131697	116.47	498.84	158.74	913.78	562.59	698.4	111.08	192.15	121.52	82.56
ENSG00000284692	0	61.26	8.86	93	17.66	4.78	0	13.23	2.92	5.83
ENSG00000284745	0	6.56	0	0	5.05	0	1.51	1.15	0.58	0
ENSG00000280222	14.22	120.33	18.39	218.34	151.37	45.44	27.2	40.85	15.19	32.75
ENSG00000285945	0	0	0	0	5.05	0	0	0	0	2.24
ENSG00000197921	1.64	0	8.18	0	2.52	31.09	3.02	1.73	2.34	13.01
ENSG00000233755	0	21.88	0.68	12.13	0	26.31	1.51	4.6	1.17	4.04
ENSG00000233929	0	0	0	0	0	0	0.76	1.15	0	0.9
ENSG00000271742	0	43.76	1.36	24.26	17.66	0	3.02	1.73	3.51	3.14
ENSG00000234166	0	0	0	0	0	0	0	0	0	0
ENSG00000235282	0	0	0	0	0	0	0	0	0	0
ENSG00000055070	361.98	603.86	451.7	735.88	782.08	923.22	590.93	739.26	633.89	179.92
ENSG00000175087	116.47	231.92	139.66	363.9	446.54	629.04	80.1	112.76	105.75	115.31
ENSG00000157191	190.83	275.68	218.69	238.55	257.33	464	389.92	357.84	344.7	63.26
ENSG00000230035	0	10.94	0	0	2.52	0	0	1.15	0	1.35
ENSG00000225643	0.55	0	1.36	0	0	2.39	1.51	4.03	1.17	0
ENSG00000284666	0	0	0	0	0	0	0	0	0	0
ENSG00000228943	0	0	0.68	0	0	0	2.27	0	0	0.45
ENSG00000234397	0	4.38	0	0	0	0	0	1.73	0	0
ENSG00000284309	0.55	19.69	0	0	5.05	0	0.76	0	0.58	0
ENSG00000162511	0.55	45.95	2.04	0	0	0	21.16	25.31	29.21	1.79
ENSG00000158014	0.55	13.13	0	24.26	15.14	0	0	4.03	2.34	4.94
ENSG00000204138	529.85	916.73	662.9	3129.5	2038.44	2281.75	639.29	779.53	631.55	372.85
ENSG00000233419	0	19.69	0	0	0	0	0.76	0	0	0
ENSG00000235263	0	21.88	0	36.39	12.61	11.96	0.76	3.45	1.17	0
ENSG00000228176	0	0	0	0	0	0	0	0	0	0
ENSG00000231251	0.55	0	6.13	40.43	7.57	7.18	5.29	2.88	0	1.35
ENSG00000142675	14.76	185.97	36.79	97.04	158.94	258.31	37.03	43.15	36.22	23.33
ENSG00000197245	2.73	45.95	4.77	24.26	20.18	16.74	6.05	8.63	4.67	6.28
ENSG00000116237	249.34	557.91	322.93	1403.02	817.4	1588.13	364.23	430.9	369.23	175.43
ENSG00000130772	54.68	107.21	55.87	194.08	131.19	224.83	60.45	69.04	70.69	37.69
ENSG00000215899	0	0	0	0	5.05	0	0	1.73	1.17	1.35
ENSG00000271398	0	30.63	5.45	0	17.66	4.78	1.51	3.45	2.34	2.24
ENSG00000225011	0	6.56	0	0	0	0	0	0.58	0.58	0
ENSG00000235069	0	0	0	0	0	0	0	0	0	0
ENSG00000284676	0	54.7	0.68	12.13	22.71	19.13	3.78	6.9	1.17	2.24
ENSG00000237058	6.01	4.38	4.09	0	0	0	1.51	5.18	3.51	7.18
ENSG00000233399	0	30.63	2.04	60.65	37.84	0	1.51	4.6	1.75	1.79
ENSG00000090020	236.22	415.7	352.91	432.63	421.31	377.9	736.02	999.29	691.14	95.57
ENSG00000157978	36.64	52.51	49.73	32.35	22.71	7.18	120.15	184.67	167.67	4.04
ENSG00000226944	0.55	0	8.18	0	7.57	0	0.76	1.15	1.17	0
ENSG00000130770	1007.2	995.49	1220.19	3085.03	3463.84	4958.14	1094.96	895.74	1124.06	1146.8
ENSG00000229044	0	0	2.04	0	0	0	0	1.15	0.58	2.24
ENSG00000162512	3621.45	3859.46	4438.62	32326.06	15356.44	11418.3	3476.05	4554.07	4719.4	3763.01
ENSG00000158006	45.38	129.09	47.69	206.21	136.23	478.35	64.23	81.12	73.03	27.37
ENSG00000214812	0	4.38	0	4.04	0	0	5.29	0.58	0.58	0.9
ENSG00000126698	1751.4	1533.72	1943.73	12643.35	5255.05	5697.19	2006.29	2002.04	2404.69	1719.31
ENSG00000229447	2.73	4.38	8.86	20.22	45.41	2.39	9.07	10.93	9.35	2.69
ENSG00000229607	0	10.94	0	12.13	7.57	0	0	0.58	0	1.35
ENSG00000130766	614.6	975.8	637.01	3784.51	1776.07	3896.19	624.18	838.79	723.86	342.79
ENSG00000168528	140.53	247.23	181.9	590.32	272.47	198.52	219.14	256.01	177.02	65.95
ENSG00000196581	359.25	910.17	485.76	2041.86	958.67	1346.57	162.47	211.71	166.51	227.93
ENSG00000169403	3.28	37.19	2.73	44.48	40.37	28.7	7.56	10.93	7.59	5.83
ENSG00000084628	1675.39	1093.95	2793.98	9368.29	7533.16	8603.19	1682.11	1835.2	1437.79	1584.71
ENSG00000060688	137.79	409.14	181.9	416.46	451.59	705.57	182.87	187.55	177.61	116.21
ENSG00000171612	71.63	115.96	81.07	533.71	141.28	566.85	96.73	65.01	82.38	46.66
ENSG00000270927	0	8.75	2.04	0	0	0	0	0	0	0
ENSG00000188910	0.55	2.19	0	0	5.05	0	1.51	2.3	1.75	1.35
ENSG00000230523	0	10.94	0.68	0	12.61	0	0	0	0	0.9
ENSG00000116138	217.63	308.49	305.22	1208.94	597.91	928.01	312.84	329.07	271.08	129.67
ENSG00000158161	218.17	616.99	257.53	1241.29	1029.31	1126.52	257.68	357.84	278.68	192.48
ENSG00000142684	0	0	0	0	0	0	0	0	0	0
ENSG00000121769	347.22	330.37	480.99	897.61	837.58	722.31	467	464.84	477.31	128.32
ENSG00000142627	425.96	1089.57	609.07	64.69	68.12	28.7	1033.75	1225.96	942.95	6.28
ENSG00000284668	3.28	19.69	0	0	0	0	0	5.18	0	2.24
ENSG00000233234	0	6.56	0	20.22	0	0	0	3.45	0	0
ENSG00000142632	9.84	37.19	20.44	0	30.27	47.84	14.36	25.89	4.67	9.42
ENSG00000234593	4.37	96.27	1.36	48.52	40.37	9.57	4.53	11.51	6.43	7.63
ENSG00000158292	677.48	827.03	880.91	2454.27	1750.84	3525.47	422.42	509.14	347.62	493.09
ENSG00000270605	2.73	30.63	2.73	0	17.66	21.53	6.8	4.6	5.26	4.94
ENSG00000189337	462.59	881.72	657.45	1839.69	1231.14	1463.76	472.29	641.46	501.27	198.31
ENSG00000235084	2.73	6.56	1.36	0	10.09	14.35	0	1.73	0	0
ENSG00000235143	2.73	50.32	2.04	0	5.05	14.35	0	2.88	0.58	4.04
ENSG00000225478	0	0	0	0	2.52	0	0	0	0	0.45
ENSG00000225077	4.92	87.52	2.73	93	50.46	2.39	16.62	22.44	18.7	10.32
ENSG00000028137	0.55	56.89	0.68	101.08	35.32	0	5.29	17.26	4.09	4.04
ENSG00000204464	1.09	10.94	0	0	17.66	0	0	0.58	1.17	2.24
ENSG00000233372	0	4.38	0.68	44.48	0	0	0	0.58	1.75	0
ENSG00000283259	0	0	0	4.04	5.05	0	0	1.15	2.34	0
ENSG00000284543	2.19	96.27	10.9	20.22	32.8	0	6.8	16.11	5.84	9.87
ENSG00000130939	879.25	1581.85	1019.21	5062.19	2787.72	3793.35	867.5	961.32	855.31	551.87
ENSG00000175147	6.01	48.13	7.49	0	35.32	57.4	15.87	27.61	14.61	10.32
ENSG00000127472	3.83	76.58	2.04	129.39	30.27	9.57	5.29	17.26	3.51	5.83
ENSG00000060656	393.15	802.96	557.98	853.13	1039.4	1179.14	479.85	644.91	526.39	218.95
ENSG00000163867	82.57	216.6	88.57	432.63	254.81	602.73	68.01	103.55	74.2	83.9
ENSG00000232768	0.55	2.19	0	0	2.52	0	1.51	0	0	0
ENSG00000230214	0	0	0	113.21	0	0	0	0	0	0
ENSG00000189280	0	4.38	2.04	16.17	2.52	0	1.51	0.58	2.34	3.14
ENSG00000134698	620.07	1284.3	697.64	4087.76	2328.57	3396.31	398.23	564.94	474.39	435.66
ENSG00000134690	27.89	78.76	28.61	133.43	85.78	69.36	43.83	84.57	72.44	8.97
ENSG00000272420	5.47	2.19	1.36	16.17	20.18	31.09	7.56	3.45	9.35	2.69
ENSG00000132881	25.15	67.82	23.85	396.24	131.19	153.07	23.43	42.57	19.86	19.74
ENSG00000273274	85.3	282.24	124.68	646.93	428.88	686.44	66.5	104.13	72.44	61.02
ENSG00000116251	1860.76	761.39	2161.74	7544.77	3254.45	5725.89	2013.09	1712.09	2551.91	1056.62
ENSG00000272510	0	0	0	16.17	2.52	0	0	0	0	0.9
ENSG00000158286	28.43	63.45	38.15	198.12	80.73	136.33	44.58	46.6	18.7	9.42
ENSG00000236648	0	10.94	2.04	0	12.61	0	1.51	2.3	0	0.9
ENSG00000232273	1.09	6.56	5.45	4.04	27.75	0	6.8	14.96	3.51	1.35
ENSG00000009709	0.55	35.01	2.73	16.17	45.41	59.79	9.82	9.78	15.77	6.28
ENSG00000287396	0	0	0.68	0	0	0	0	1.15	0	0
ENSG00000223589	0	0	1.36	0	7.57	0	0	1.73	0.58	0
ENSG00000158008	4.92	37.19	12.26	161.73	55.5	31.09	8.31	17.26	6.43	9.42
ENSG00000130940	171.15	391.63	183.27	1661.79	1157.98	1726.86	70.28	73.06	58.42	80.31
ENSG00000116771	3.83	41.57	8.18	0	45.41	7.18	0.76	9.78	2.92	3.14
ENSG00000237301	5.47	63.45	5.45	234.51	32.8	2.39	10.58	15.53	3.51	1.79
ENSG00000163879	441.27	555.73	508.92	2142.94	1165.55	1592.92	354.41	354.38	401.37	341.89
ENSG00000227527	8.2	13.13	4.77	8.09	7.57	26.31	3.78	3.45	7.01	6.28
ENSG00000116954	262.46	225.35	280.69	1132.12	676.12	1219.8	472.29	589.68	624.54	145.82
ENSG00000228589	16.4	17.5	15.67	121.3	55.5	28.7	21.16	21.29	26.29	12.56
ENSG00000163873	935.57	2273.23	1069.63	10205.25	4730.3	6156.41	373.3	535.03	376.24	843.05
ENSG00000117215	0	30.63	0	0	10.09	0	3.78	8.05	1.17	2.69
ENSG00000196449	104.99	78.76	119.91	424.54	295.17	617.08	102.01	73.06	139.05	74.03
ENSG00000230163	0	0	0	0	0	0	0	0	0	0
ENSG00000227538	0	24.07	0	0	0	0	0	2.88	0	0.45
ENSG00000236500	0	0	0	0	0	0	0	0	1.17	0
ENSG00000044012	0	0	0	0	0	0	0	0	0	0
ENSG00000179051	567.03	1424.32	641.78	3687.48	1849.23	3977.51	735.26	948.09	791.63	202.35
ENSG00000215895	4.37	45.95	6.13	8.09	10.09	0	21.91	20.14	13.44	2.69
ENSG00000284650	2.19	30.63	1.36	0	17.66	0	8.31	6.33	7.59	3.59
ENSG00000237329	0	6.56	0	0	0	0	0	2.3	5.26	0
ENSG00000236948	0	59.07	0	48.52	0	9.57	2.27	5.18	2.34	3.14
ENSG00000126067	452.2	347.88	639.73	1099.77	1377.46	2154.98	604.53	556.89	567.87	390.34
ENSG00000274944	0	0	0	0	0	0	0	0	1.17	0.9
ENSG00000132906	61.24	85.33	62.68	250.68	206.87	239.18	71.79	118.51	74.78	62.37
ENSG00000197312	171.15	402.57	252.08	1435.37	691.25	971.06	211.59	282.47	252.97	125.18
ENSG00000284748	0	2.19	0	0	0	0	0	0	0	0
ENSG00000272078	3.83	24.07	4.77	76.82	27.75	2.39	2.27	4.6	0	1.79
ENSG00000173660	1003.92	2796.14	1558.11	3744.08	4513.34	4121.02	2152.13	1747.18	1625.32	1017.59
ENSG00000224592	16.95	109.4	23.16	299.2	68.12	78.93	26.45	18.98	11.1	8.52
ENSG00000233728	0	0	0	0	0	0	0	0	0	0
ENSG00000230451	0	0	0	0	0	0	0	1.15	0	0
ENSG00000231606	0.55	13.13	0.68	0	7.57	0	0.76	4.03	4.09	4.49
ENSG00000215900	0	0	0	0	17.66	0	1.51	1.15	0	0
ENSG00000284632	1.09	70.01	5.45	0	20.18	0	6.8	4.03	4.09	4.04
ENSG00000241014	0.55	4.38	2.73	0	2.52	2.39	1.51	2.3	1.17	0
ENSG00000054118	2109.55	2901.16	2256.44	18008.79	6645.12	5795.26	2479.33	2973.72	2978.98	1260.32
ENSG00000254553	0	13.13	1.36	16.17	15.14	0	1.51	3.45	0.58	0
ENSG00000284653	0	45.95	0	12.13	0	0	0.76	5.18	0	2.69
ENSG00000237749	1.09	8.75	4.09	80.87	5.05	2.39	8.31	9.2	9.35	1.79
ENSG00000276747	0	37.19	4.77	0	12.61	0	0	8.05	4.67	1.35
ENSG00000284705	0	4.38	0	0	0	2.39	3.78	4.03	1.17	1.79
ENSG00000228776	0	10.94	1.36	0	2.52	4.78	0	0.58	0	0.45
ENSG00000159339	0	8.75	0.68	28.3	7.57	2.39	0.76	12.66	0	5.38
ENSG00000197982	48.12	37.19	143.75	113.21	244.71	552.5	103.53	80.54	73.03	85.7
ENSG00000261781	0	45.95	0.68	76.82	0	4.78	1.51	4.6	0	6.73
ENSG00000183317	59.05	220.98	95.38	238.55	378.42	492.7	38.54	53.5	29.21	41.73
ENSG00000183386	77.65	70.01	119.23	88.95	50.46	112.41	250.12	266.94	222.59	31.41
ENSG00000284743	0	2.19	0	0	0	0	0	1.15	0	0
ENSG00000158315	8.2	28.44	4.77	129.39	55.5	7.18	13.6	12.08	11.68	4.49
ENSG00000204084	128.5	409.14	156.02	1512.19	489.43	1028.46	148.87	209.98	149.56	92.43
ENSG00000186973	0	4.38	0	0	2.52	0	7.56	10.36	5.26	0.45
ENSG00000146463	856.83	1135.52	939.5	5159.23	2752.4	3783.78	854.66	969.38	844.21	616.47
ENSG00000183520	235.12	490.09	269.11	655.01	633.23	990.19	293.95	345.75	349.37	174.08
ENSG00000271741	0	0	0	0	0	0	0	0	0	0
ENSG00000214141	0.55	0	0.68	0	2.52	0	0	1.15	0	0
ENSG00000142686	555.55	1743.76	677.2	3165.89	2772.59	2944.27	136.02	150.15	141.38	279.97
ENSG00000224751	0	4.38	0	0	2.52	0	0	1.15	0	0
ENSG00000117148	1.09	21.88	0.68	16.17	10.09	11.96	1.51	5.18	2.92	2.24
ENSG00000230585	1.09	13.13	2.04	0	12.61	0	0	1.15	0	5.38
ENSG00000117000	561.56	1317.12	610.44	3695.56	1516.22	2595.07	593.95	732.93	631.55	393.49
ENSG00000284989	0	0	0	0	0	0	0	0	0	0
ENSG00000231630	0	0	0	0	2.52	0	0	0	0	0
ENSG00000092853	114.83	393.82	118.54	1091.69	451.59	444.87	161.71	175.47	184.03	57.43
ENSG00000255811	0	13.13	0	0	0	0	0	0	0	0
ENSG00000134697	875.97	1325.87	962.67	7771.19	2870.98	3300.64	1138.79	1216.76	1381.12	648.33
ENSG00000187513	0	26.25	2.04	60.65	7.57	0	4.53	8.63	2.92	4.49
ENSG00000238145	0	0	0	0	0	0	0	0	0	0
ENSG00000225142	0	10.94	1.36	0	7.57	0	0	5.18	0	1.79
ENSG00000230138	3.83	21.88	4.09	80.87	7.57	0	3.78	5.18	2.92	7.18
ENSG00000223390	1.09	13.13	0.68	0	5.05	0	0	1.73	1.75	0
ENSG00000284720	0	72.2	2.04	0	20.18	0	1.51	5.18	2.92	1.79
ENSG00000225671	0	21.88	0.68	0	5.05	4.78	2.27	0.58	0	0.9
ENSG00000116151	51.95	87.52	66.09	117.26	232.1	143.51	55.16	68.46	52.58	42.18
ENSG00000226147	0	0	0	0	0	0	0	0	0	0
ENSG00000006555	4.37	63.45	3.41	125.34	12.61	0	1.51	14.96	7.01	8.97
ENSG00000236111	2.73	13.13	0	0	5.05	31.09	3.02	2.88	1.17	0.45
ENSG00000066056	3.83	111.58	4.77	125.34	47.93	45.44	52.14	44.87	36.81	6.28
ENSG00000214114	26.79	13.13	30.66	165.77	55.5	35.88	56.67	47.17	54.92	15.25
ENSG00000116544	141.62	319.43	220.06	958.26	618.09	676.87	126.2	138.65	114.51	143.57
ENSG00000231900	0	0	0	0	0	0	0	1.73	0	1.79
ENSG00000236723	0	0	0.68	24.26	7.57	9.57	0.76	0	0	0.45
ENSG00000232467	1.09	26.25	0	0	0	57.4	0.76	0	1.17	0
ENSG00000117016	2020.42	4264.22	2436.98	16431.91	8976.21	18409.44	856.17	1097.1	890.95	1413.76
ENSG00000121310	9.3	148.78	17.03	153.64	108.48	21.53	27.96	66.73	23.37	17.5
ENSG00000169213	544.61	1170.53	660.85	2700.91	1755.89	2145.42	228.21	321.59	230.19	172.29
ENSG00000163866	252.62	479.15	249.35	1390.89	837.58	1267.64	337.03	327.35	314.32	197.86
ENSG00000225779	0	0	4.09	0	37.84	0	4.53	0	0	0
ENSG00000284601	0.55	2.19	1.36	0	7.57	0	3.78	5.75	1.17	3.59
ENSG00000237130	0.55	10.94	0.68	0	7.57	26.31	0	7.48	0	0.9
ENSG00000143001	0	0	0	0	0	0	0	0	0	0
ENSG00000227416	0	10.94	0.68	0	5.05	2.39	1.51	0	1.17	0.45
ENSG00000232335	0	0	0	0	0	0	0	0	0.58	0
ENSG00000260971	3.28	100.64	14.31	44.48	70.64	141.11	19.65	14.38	5.84	19.29
ENSG00000259832	0	0	0	0	0	0	3.02	0	0	0.45
ENSG00000284696	2.19	87.52	1.36	0	10.09	7.18	0.76	10.36	4.09	3.59
ENSG00000238242	0	8.75	0	0	12.61	2.39	0	1.73	0	3.59
ENSG00000285839	0	0	0	0	0	0	0	0	0	0
ENSG00000237290	1.09	15.32	1.36	8.09	2.52	0	3.02	5.18	0.58	1.79
ENSG00000232762	0	8.75	0	0	10.09	0	0	2.88	3.51	0.45
ENSG00000117419	152.56	76.58	215.29	270.9	446.54	1207.84	194.96	173.16	156.57	117.55
ENSG00000162384	120.84	181.6	153.97	335.59	375.9	786.89	182.87	158.21	167.09	103.64
ENSG00000162391	0	17.5	1.36	0	2.52	0	1.51	0.58	0.58	2.69
ENSG00000174348	13.12	41.57	8.86	210.25	25.23	0	27.96	50.05	29.21	4.04
ENSG00000117859	1325.99	1424.32	1585.37	8664.76	4089.5	6386.02	1196.22	1495.78	1341.97	735.82
ENSG00000228121	1.64	10.94	0.68	0	5.05	0	3.78	1.15	0	0
ENSG00000253313	1.64	28.44	1.36	64.69	12.61	0	1.51	6.33	1.17	0.9
ENSG00000162396	19.14	15.32	24.53	48.52	45.41	66.97	38.54	20.14	17.53	15.25
ENSG00000203995	4.37	48.13	1.36	52.56	25.23	2.39	6.05	10.93	2.92	6.28
ENSG00000284686	0.55	0	0	0	5.05	0	0	4.6	1.17	2.24
ENSG00000162378	392.6	374.13	437.39	2155.07	1122.66	1853.62	315.11	417.09	350.54	308.24
ENSG00000233079	0.55	26.25	4.09	20.22	5.05	11.96	3.78	6.9	0	3.14
ENSG00000259818	3.83	54.7	2.04	36.39	40.37	19.13	2.27	9.78	4.09	6.73
ENSG00000229444	2.19	2.19	1.36	0	7.57	0	4.53	4.03	0.58	4.04
ENSG00000240563	3.83	32.82	4.09	198.12	35.32	9.57	47.61	39.7	61.93	8.08
ENSG00000234318	0	8.75	0.68	0	0	0	0	0	0	0.45
ENSG00000284773	2.73	0	0	8.09	0	0	1.51	5.18	4.09	0.45
ENSG00000234481	0	10.94	0	0	0	0	0	0	0	0
ENSG00000117862	161.85	185.97	143.75	695.44	350.67	681.65	124.68	151.88	140.8	67.3
ENSG00000235612	0	0	0	0	2.52	0	0	0.58	0	0
ENSG00000228369	0	2.19	1.36	0	5.05	0	0	1.15	0.58	0
ENSG00000183431	1100.16	1535.91	1294.45	7249.61	4175.28	5730.68	1106.29	1231.14	1512.57	990.22
ENSG00000227485	0	10.94	3.41	0	20.18	19.13	0.76	0.58	0	4.49
ENSG00000224609	15.31	168.47	40.88	331.55	148.85	83.71	20.4	39.12	33.3	34.1
ENSG00000235545	5.47	28.44	6.81	0	40.37	28.7	9.82	6.9	1.75	7.18
ENSG00000236646	0	0	0	0	2.52	7.18	1.51	1.73	0	0.9
ENSG00000232198	0	4.38	0	0	0	0	0	0	0	0.45
ENSG00000238063	3.28	43.76	6.13	8.09	37.84	157.86	7.56	12.66	4.09	4.94
ENSG00000227104	0	2.19	0	40.43	2.52	0	0	0.58	0	0
ENSG00000243725	23.51	70.01	21.8	121.3	111	179.38	37.78	39.7	45.57	22.88
ENSG00000171872	6.56	133.46	19.76	105.13	65.59	57.4	19.65	17.83	8.18	13.46
ENSG00000162407	5.47	59.07	14.31	56.61	80.73	7.18	8.31	32.22	23.37	8.97
ENSG00000285079	0.55	13.13	0.68	0	2.52	0	0.76	4.6	0	1.79
ENSG00000169218	4.92	41.57	2.73	4.04	12.61	0	6.05	10.36	11.1	6.73
ENSG00000163877	168.96	306.31	209.84	1370.67	635.75	906.48	198.74	235.87	265.82	160.62
ENSG00000228929	8.75	0	15.67	12.13	15.14	26.31	18.89	15.53	18.11	8.52
ENSG00000224570	0	13.13	0.68	0	7.57	0	0	0.58	0.58	0.9
ENSG00000224980	0	0	0	0	0	0	1.51	2.88	1.17	0
ENSG00000278967	0.55	4.38	0.68	12.13	0	0	0.76	1.73	0.58	0
ENSG00000157184	47.02	175.03	57.23	319.42	214.44	136.33	59.7	58.68	63.1	62.37
ENSG00000198815	1224.28	1960.36	1554.03	5684.86	4195.46	3271.94	1650.37	1640.75	1752.1	827.35
ENSG00000134744	660.53	1487.77	781.44	4027.11	1887.07	3324.56	762.47	1001.02	785.2	479.18
ENSG00000233910	0	0	0	0	0	0	0	0	2.34	0
ENSG00000287703	0	50.32	0	0	7.57	0	2.27	1.15	0	2.24
ENSG00000283039	0	30.63	2.73	60.65	7.57	11.96	0	3.45	4.67	1.35
ENSG00000229032	0	2.19	1.36	0	12.61	7.18	0.76	4.03	0.58	0.9
ENSG00000229294	3.83	13.13	2.04	0	17.66	0	1.51	1.73	0.58	3.14
ENSG00000232993	0	0	0	0	0	0	0	0	0	0
ENSG00000234088	0	2.19	0	0	0	0	0	0	0	0.45
ENSG00000236973	0	26.25	1.36	44.48	5.05	0	0	1.15	2.34	0.45
ENSG00000277397	0	13.13	0	0	0	0	0	4.6	0.58	0.45
ENSG00000271200	1.64	4.38	2.73	48.52	15.14	19.13	0	1.73	2.34	0.45
ENSG00000235446	0	0	0	0	7.57	0	0	0	0	0.45
