Gene	UHR_1	UHR_2	brain_1	brain_2
CDK11B	128	98	86	88
CDK12	568	553	133	165
CDK13	424	443	225	274
CDK14	106	112	375	427
CDK15	2	1	1	1
CDK16	1535	1579	1407	1547
CDK17	110	122	241	273
CDK18	387	394	1127	1276
CDK19	159	192	263	333
CDK2	959	1096	21	27
CDK20	50	71	148	169
CDK2AP1	596	571	416	441
CDK2AP2	455	435	209	279
CDK3	78	95	20	42
CDK4	1088	1220	115	120
CDK5	165	133	216	249
CDK5R1	66	79	1358	1530
CDK5R2	11	9	761	835
CDK5RAP1	219	265	76	91
CDK5RAP2	682	670	159	199
CDK5RAP3	847	901	364	401
CDK6	972	1083	75	80
CDK7	68	80	22	23
CDK8	108	106	42	45
CDK9	580	563	594	663
CDKAL1	90	92	27	24
CDKL1	7	5	14	18
CDKL2	2	2	74	82
CDKL3	7	7	8	15
CDKL5	12	8	58	57
CDKN1A	571	561	428	426
CDKN1B	384	431	684	713
CDKN1C	387	376	364	482
CDKN2A	315	298	20	13
CDKN2AIP	112	117	79	84
CDKN2AIPNL	108	106	75	92
CDKN2B	78	73	19	20
CDKN2BAS	14	6	2	5
CDKN2C	451	473	57	85
CDKN2D	123	136	487	581
CDKN3	111	89	4	7
CDNF	13	10	8	4
CDO1	13	8	116	140
CDON	212	179	191	180
CDR1	19	16	2457	2673
CDR2	302	312	112	113
CDR2L	289	304	852	929
CDRT1	6	4	1	1
CDRT15	1	3	1	1
CDRT15P	4	6	1	2
CDRT4	108	102	96	78
CDS1	44	38	186	210
CDS2	227	238	330	331
CDSN	12	12	2	2
CDT1	1415	1462	15	25
CDV3	1083	1180	324	332
CDX1	1	1	2	1
CDX2	2	2	1	1
CDYL	252	297	80	101
CDYL2	56	36	85	107
CEACAM1	167	168	2	3
CEACAM16	1	2	1	2
CEACAM19	23	22	45	47
CEACAM21	1	1	4	3
CEACAM22P	4	1	1	1
CEACAM5	35	57	1	1
CEACAM6	13	12	1	1
CEBPA	248	246	139	156
CEBPB	864	893	297	322
CEBPD	226	218	285	303
CEBPE	12	6	2	2
CEBPG	294	314	178	189
CEBPZ	273	312	79	74
CECR1	91	75	78	96
CECR2	83	82	127	157
CECR4	3	5	5	5
CECR5	578	570	138	170
CECR6	19	33	186	199
CECR7	46	39	32	29
CEL	27	26	23	33
CELA2A	1	2	3	2
CELA2B	1	1	3	5
CELA3A	8	5	1	1
CELF1	1119	1252	973	1042
CELF2	134	163	767	817
CELF3	4	2	850	929
CELF4	6	3	956	1054
CELF5	40	34	698	760
CELF6	9	11	195	211
CELP	1	1	2	1
CELSR1	528	505	7	9
CELSR2	1418	1443	2423	2617
CELSR3	419	433	1067	1088
CEMP1	79	66	54	59
CEND1	9	7	2683	2954
CENPA	114	113	1	1
CENPB	1772	1789	1095	1198
CENPBD1	142	154	77	69
CENPC1	50	66	25	17
CENPE	134	136	2	4
CENPF	1176	1241	17	11
CENPH	137	144	3	5
CENPI	46	44	2	1
CENPJ	132	148	70	50
CENPK	63	43	1	1
CENPL	64	73	7	11
CENPM	207	193	7	8
CENPN	279	269	22	37
CENPO	77	90	11	15
CENPP	26	32	7	5
CENPQ	35	34	7	7
CENPT	507	510	343	450
CENPV	322	337	122	140
CENPW	95	114	2	4
CEP110	195	220	52	33
CEP120	108	101	80	64
CEP135	58	68	5	7
CEP152	138	144	5	15
CEP164	293	336	232	218
CEP170	112	138	128	134
CEP192	204	237	81	73
CEP250	1187	1167	416	451
CEP290	71	62	38	49
CEP350	307	358	191	189
CEP55	158	175	1	1
CEP57	259	268	77	67
CEP63	91	100	98	95
CEP68	147	167	275	280
CEP70	48	52	30	37
CEP72	120	120	33	32
CEP76	72	66	39	56
CEP78	126	115	19	29
CEP97	60	59	64	69
CEPT1	128	137	64	75
CER1	1	2	2	1
CERCAM	512	581	1439	1513
CERK	577	632	690	728
CERKL	6	13	24	26
CES1	124	105	9	5
CES2	472	485	320	336
CES3	73	81	17	27
CES4	2	4	1	1
CES7	1	1	3	6
CES8	9	13	304	361
CETN2	141	138	86	95
CETN3	43	52	10	22
CETN4P	2	2	1	2
CETP	19	16	2	3
CFB	445	472	23	38
CFD	225	194	19	27
CFDP1	268	297	151	179
CFH	63	53	53	52
CFHR4	1	2	1	1
CFI	161	163	14	8
CFL1	5378	5381	2985	3464
CFL2	213	237	280	315
CFLAR	109	129	95	99
CFLP1	3	2	5	4
CFP	8	3	13	8
CFTR	3	4	1	4
CG030	11	24	12	17
CGA	109	124	1	1
CGB7	5	1	2	1
CGGBP1	351	397	251	261
CGN	101	101	126	161
CGNL1	110	93	167	173
CGREF1	70	92	184	217
CGRRF1	17	24	27	32
CH25H	2	6	33	22
CHAC1	74	80	62	87
CHAC2	25	31	6	4
CHAD	19	36	103	121
CHADL	23	26	274	282
CHAF1A	813	824	82	106
CHAF1B	217	237	29	36
CHAT	2	2	3	2
CHCHD1	181	169	85	68
CHCHD10	456	458	609	654
CHCHD2	702	729	264	303
CHCHD3	289	312	58	62
CHCHD4	117	113	74	66
CHCHD5	146	130	53	49
CHCHD6	143	139	143	152
CHCHD7	72	80	66	91
CHCHD8	407	453	97	85
CHD1	245	220	63	68
CHD1L	419	469	111	120
CHD2	1042	1064	652	710
CHD3	1535	1559	1409	1609
CHD4	2930	3039	928	1047
CHD5	20	20	1652	1812
CHD6	555	560	399	453
CHD7	437	465	417	476
CHD8	867	926	554	567
CHD9	197	196	196	220
CHDH	216	228	144	141
CHEK1	146	175	19	13
CHEK2	101	105	3	4
CHERP	1061	1067	502	611
CHFR	234	215	107	129
CHGA	5	5	1979	2214
CHGB	29	37	3011	3156
CHI3L1	76	78	646	710
CHI3L2	95	86	29	40
CHIC1	25	33	108	111
CHIC2	51	42	29	30
CHID1	574	568	281	280
CHIT1	1	1	6	7
CHKA	400	419	231	267
CHKB	13	14	16	13
CHKB-CPT1B	72	76	59	66
CHL1	13	5	554	570
CHM	76	88	110	104
CHML	209	231	34	45
CHMP1A	982	1023	507	616
CHMP1B	419	452	229	304
CHMP2A	456	454	341	395
CHMP2B	111	109	81	91
CHMP4A	161	212	126	125
CHMP4B	830	871	906	949
CHMP4C	32	34	3	2
CHMP5	139	148	135	134
CHMP6	181	187	114	124
CHMP7	348	338	254	238
CHN1	80	60	1856	2069
CHN2	54	61	753	837
CHODL	4	4	5	5
CHORDC1	64	64	35	40
CHP	432	492	338	371
CHP2	5	4	3	2
CHPF	2198	2075	733	800
CHPF2	540	492	166	189
CHPT1	236	217	148	152
CHRAC1	229	211	46	40
CHRD	90	91	871	951
CHRDL1	33	43	94	119
CHRDL2	5	3	2	2
CHRFAM7A	1	1	3	2
CHRM1	6	2	459	520
CHRM2	1	1	6	6
CHRM3	22	29	37	57
CHRM4	8	10	37	40
CHRM5	1	1	12	11
CHRNA1	2	3	4	5
CHRNA10	8	8	4	10
CHRNA2	1	2	78	91
CHRNA3	11	9	43	53
CHRNA4	9	13	299	344
CHRNA5	42	52	7	3
CHRNA6	3	4	5	9
CHRNA7	4	3	5	5
CHRNA9	32	28	1	1
CHRNB1	70	74	27	34
CHRNB2	14	12	493	525
CHRNB3	1	1	8	8
CHRNB4	4	2	4	2
CHRND	2	1	2	2
CHRNE	5	5	10	11
CHRNG	4	3	1	2
CHST1	25	27	820	867
CHST10	193	214	261	297
CHST11	390	413	161	147
CHST12	312	300	128	164
CHST13	149	132	3	2
CHST14	305	331	41	39
CHST15	275	298	167	184
CHST2	273	311	583	650
CHST3	275	295	301	303
CHST4	9	9	1	1
CHST5	6	7	36	55
CHST6	86	111	218	241
CHST7	94	91	72	94
CHST8	38	35	149	163
CHST9	5	3	7	3
CHSY1	352	406	120	124
CHSY3	12	10	22	23
CHTF18	837	853	133	142
CHTF8	542	569	151	213
CHUK	103	142	56	50
CHURC1	162	164	107	126
CIAO1	641	616	351	355
CIAPIN1	280	289	136	144
CIB1	506	542	125	155
CIB2	61	78	85	81
CIB3	3	2	1	1
CIC	986	1024	1786	1977
CIDEA	1	1	31	39
CIDEB	198	231	112	151
CIDEC	16	17	2	3
CIDECP	44	39	70	61
CIITA	9	4	14	13
CILP	5	7	9	6
CILP2	120	101	10	10
CINP	168	170	104	104
CIR1	86	83	73	65
CIRBP	1327	1380	2284	2591
CIRH1A	527	558	134	137
CISD1	100	92	105	122
CISD2	103	124	92	93
CISD3	212	225	103	119
CISH	236	289	18	15
CIT	690	745	1009	1069
CITED1	40	32	37	40
CITED2	826	796	400	480
CITED4	233	191	123	141
CIZ1	1557	1625	775	949
CKAP2	297	291	55	66
CKAP2L	135	125	1	3
CKAP4	1234	1265	196	174
CKAP5	1483	1621	678	767
CKB	2554	2451	12192	14066
CKLF	218	207	27	42
CKM	4	4	4	4
CKMT1A	3	5	64	50
CKMT1B	2	4	79	102
CKMT2	3	6	23	29
CKS1B	117	140	3	7
CKS2	307	323	8	8
CLASP1	678	736	775	875
CLASP2	209	237	949	987
CLCA1	2	1	1	1
CLCA2	1	3	3	4
CLCA3P	2	2	1	2
CLCA4	1	1	19	19
CLCC1	196	190	142	176
CLCF1	59	79	17	9
CLCN1	3	2	2	4
CLCN2	101	109	100	99
CLCN3	249	283	385	393
CLCN4	45	37	882	1086
CLCN5	137	165	63	72
CLCN6	301	285	663	724
CLCN7	1224	1231	793	839
CLCNKA	15	10	28	34
CLCNKB	8	5	20	19
CLDN1	75	61	5	11
CLDN10	29	20	64	75
CLDN11	18	29	1246	1378
CLDN12	179	191	94	120
CLDN14	14	11	1	1
CLDN15	127	118	50	55
CLDN16	1	1	1	3
CLDN18	3	8	3	6
CLDN19	12	10	2	2
CLDN2	4	4	2	3
CLDN20	2	7	4	5
CLDN23	19	17	4	6
CLDN3	441	396	33	26
CLDN4	713	738	11	16
CLDN5	4	6	691	806
CLDN6	195	222	6	7
CLDN7	145	156	3	2
CLDN9	50	51	96	91
CLDND1	214	248	1196	1295
CLDND2	13	11	9	9
CLEC10A	1	2	1	3
CLEC11A	128	157	90	119
CLEC12B	1	1	1	2
CLEC14A	4	4	91	76
CLEC16A	356	404	470	493
CLEC17A	1	1	5	3
CLEC18A	1	1	3	1
CLEC18B	2	2	4	3
CLEC18C	3	1	1	1
CLEC1A	2	1	7	4
CLEC2B	37	40	7	7
CLEC2D	31	39	4	2
CLEC2L	3	9	246	305
CLEC3A	1	2	3	1
CLEC3B	42	43	106	166
CLEC4A	6	5	3	2
CLEC4D	2	3	1	2
CLEC4E	1	1	4	2
CLEC4F	7	3	3	2
CLEC4G	1	3	60	71
CLEC4GP1	2	3	112	95
CLEC4M	1	1	2	5
CLEC5A	1	1	5	5
CLEC7A	13	10	6	4
CLEC9A	1	1	5	8
CLGN	58	57	20	22
CLIC1	2061	2180	76	94
CLIC2	34	45	8	8
CLIC3	94	103	6	4
CLIC4	714	738	330	434
CLIC5	3	3	31	27
CLIC6	41	32	8	16
CLINT1	575	577	168	175
CLIP1	298	316	478	508
CLIP2	488	526	2320	2580
CLIP3	187	168	3877	4264
CLIP4	86	74	187	217
CLK1	179	185	288	258
CLK2	424	509	154	218
CLK2P	66	86	18	23
CLK3	382	363	163	198
CLK4	30	52	162	167
CLMN	99	147	286	289
CLN3	314	324	91	80
CLN5	82	109	63	80
CLN6	563	561	125	190
CLN8	237	298	372	435
CLNK	2	1	1	1
CLNS1A	540	603	132	177
CLOCK	95	91	91	117
CLP1	123	121	18	29
CLPB	293	287	225	226
CLPP	524	565	243	234
CLPS	2	1	2	1
CLPTM1	1033	1067	1428	1556
CLPTM1L	1217	1236	226	274
CLPX	223	242	101	93
CLRN1OS	2	1	1	1
CLRN3	1	1	2	2
CLSPN	228	241	6	5
CLSTN1	1977	2004	8173	9067
CLSTN2	38	52	127	150
CLSTN3	548	596	3217	3478
CLTA	734	732	601	695
CLTB	507	464	1063	1146
CLTC	2940	3130	1917	2154
CLTCL1	141	128	59	60
CLU	3116	3320	20409	22557
CLUAP1	66	74	73	73
CLUL1	6	8	17	8
CLVS1	1	1	83	92
CLVS2	1	1	129	146
CLYBL	34	43	31	30
CMA1	2	2	1	1
CMAH	15	9	14	12
CMAS	274	301	245	248
CMBL	300	293	96	93
CMC1	65	45	28	22
CMIP	731	804	839	864
CMKLR1	21	25	22	17
CMPK1	430	423	257	289
CMPK2	31	46	28	40
CMTM1	28	28	23	28
CMTM2	1	2	1	3
CMTM3	313	335	42	33
CMTM4	402	427	644	766
CMTM5	2	1	199	225
CMTM6	291	269	45	49
CMTM7	136	139	16	12
CMTM8	40	49	17	13
CMYA5	21	19	33	48
CN5H6.4	9	8	9	9
CNBP	1710	1786	1014	1117
CNDP1	4	2	453	576
CNDP2	806	882	829	920
CNFN	23	17	11	5
CNGA1	2	2	1	1
CNGA3	1	1	4	8
CNGA4	1	3	5	5
CNGB1	8	11	20	27
CNGB3	1	1	1	2
CNIH	238	248	106	94
CNIH2	68	83	417	455
CNIH3	35	48	71	73
CNIH4	148	162	32	20
CNKSR1	66	66	44	40
CNKSR2	20	26	592	598
CNKSR3	102	107	41	52
CNN1	60	50	63	60
CNN2	1194	1233	48	77
CNN3	771	769	517	569
CNNM1	34	48	312	358
CNNM2	186	202	173	187
CNNM3	500	563	367	405
CNNM4	209	233	230	264
CNO	210	195	58	72
CNOT1	1837	1977	425	480
CNOT10	197	211	51	53
CNOT2	296	295	185	220
CNOT3	630	624	330	367
CNOT4	121	152	106	125
CNOT6	286	293	172	167
CNOT6L	125	137	123	109
CNOT7	239	271	128	121
CNOT8	270	300	134	179
CNP	1284	1294	7598	8424
CNPY1	3	2	23	24
CNPY2	504	465	178	216
CNPY3	619	702	233	281
CNPY4	120	134	42	60
CNR1	4	5	319	367
CNRIP1	110	132	594	602
CNST	157	178	344	339
CNTD1	11	7	8	9
CNTD2	5	10	40	58
CNTF	1	1	1	2
CNTFR	75	68	707	745
CNTLN	64	61	14	32
CNTN1	16	30	870	940
CNTN2	6	4	3344	3808
CNTN3	1	2	52	48
CNTN4	6	11	86	122
CNTN5	3	4	10	16
CNTN6	1	1	35	40
CNTNAP1	656	679	2113	2306
CNTNAP2	62	69	587	659
CNTNAP3	11	6	7	8
CNTNAP4	9	12	429	491
CNTNAP5	6	9	56	65
CNTROB	431	473	142	159
COASY	949	1058	355	438
COBL	221	239	1195	1254
COBLL1	94	95	46	45
COBRA1	1098	1165	601	734
COCH	142	168	23	29
COG1	252	337	359	413
COG2	161	175	100	112
COG3	148	130	81	90
COG4	572	616	303	332
COG5	166	198	70	108
COG6	116	94	83	79
COG7	239	242	100	122
COG8	190	208	117	118
COIL	132	119	56	70
COL10A1	1	2	2	4
COL11A1	24	29	32	36
COL11A2	115	122	150	177
COL12A1	396	397	60	53
COL13A1	35	49	70	86
COL14A1	164	183	14	14
COL15A1	472	471	8	7
COL16A1	172	177	302	334
COL17A1	8	8	5	3
COL18A1	2565	2540	410	537
COL19A1	3	4	39	53
COL1A1	2023	2152	47	48
COL1A2	2209	2224	93	106
COL20A1	6	5	59	65
COL21A1	4	4	17	13
COL22A1	7	8	24	22
COL23A1	38	38	55	41
COL24A1	19	14	21	23
COL25A1	18	23	1	6
COL27A1	323	376	454	444
COL28A1	2	2	10	14
COL2A1	77	87	2	4
COL3A1	78	57	17	15
COL4A1	430	479	218	208
COL4A2	1501	1613	307	390
COL4A3	12	17	15	23
COL4A3BP	150	165	242	252
COL4A4	22	24	19	16
COL4A5	165	170	148	185
COL4A6	169	170	1	4
COL5A1	1372	1408	54	56
COL5A2	274	294	71	85
COL5A3	42	50	253	226
COL6A1	4352	4421	1297	1567
COL6A2	4755	4542	224	223
COL6A3	1099	1120	29	36
COL6A4P1	3	4	1	1
COL6A4P2	7	3	3	1
COL6A5	14	20	1	1
COL6A6	1	2	7	2
COL7A1	579	627	233	256
COL8A1	88	87	13	26
COL8A2	48	51	91	90
COL9A1	9	5	16	17
COL9A2	84	112	319	379
COL9A3	650	623	186	219
COLEC10	10	18	1	3
COLEC11	28	7	15	9
COLEC12	410	397	117	115
COLQ	9	21	49	76
COMMD1	67	96	53	70
COMMD10	59	54	25	25
COMMD2	71	92	35	31
COMMD3	81	78	63	54
COMMD4	345	324	85	102
COMMD5	188	169	111	130
COMMD6	102	116	51	72
COMMD7	274	279	187	250
COMMD8	45	38	12	16
COMMD9	147	190	155	173
COMP	10	8	24	39
COMT	891	955	629	682
COMTD1	144	134	34	39
COPA	1549	1713	870	980
COPB1	666	720	180	176
COPB2	838	912	241	241
COPE	1378	1361	688	699
COPG	1426	1573	804	853
COPG2	143	183	71	74
COPS2	240	260	110	141
COPS3	332	318	144	142
COPS4	134	136	122	131
COPS5	263	255	170	165
COPS6	957	1003	467	615
COPS7A	595	637	698	784
COPS7B	397	365	224	230
COPS8	198	224	171	171
COPZ1	718	743	250	288
COPZ2	58	68	14	14
COQ10A	83	88	77	76
COQ10B	66	71	53	68
COQ2	70	63	11	21
COQ3	40	43	23	25
COQ4	347	335	173	201
COQ5	142	163	78	68
COQ6	119	101	74	73
COQ7	105	103	55	63
COQ9	421	458	189	234
CORIN	2	1	2	2
CORO1A	605	618	312	351
CORO1B	808	783	275	295
CORO1C	1381	1445	453	490
CORO2A	145	148	66	102
CORO2B	132	147	1243	1363
CORO6	82	68	355	386
CORO7	432	463	322	404
CORT	1	4	19	21
COTL1	1532	1604	408	456
COX10	120	129	45	45
COX11	183	192	139	148
COX15	273	244	123	130
COX16	129	125	61	77
COX17	73	60	54	49
COX18	81	66	47	49
COX19	190	162	101	132
COX4I1	2068	2229	1983	2214
COX4I2	1	1	9	9
COX4NB	331	303	100	134
COX5A	697	688	393	437
COX5B	798	852	859	917
COX6A1	334	341	322	416
COX6A2	1	1	6	4
COX6B1	688	803	533	574
COX6B2	13	12	2	3
COX6C	379	391	252	292
COX7A1	3	2	162	178
COX7A2	380	401	303	312
COX7A2L	445	508	337	347
COX7B	502	597	201	259
COX7C	599	633	344	399
COX8A	1389	1522	850	872
COX8C	1	1	2	3
CP	293	326	46	48
CP110	134	130	208	213
CPA1	1	2	1	1
CPA2	3	4	2	1
CPA4	162	207	4	7
CPA5	1	2	1	1
CPAMD8	19	15	38	45
CPB1	1	1	2	3
CPB2	34	53	3	1
CPD	550	554	258	271
CPE	544	542	4174	4586
CPEB1	32	32	114	161
CPEB2	137	122	170	193
CPEB3	28	31	188	215
CPEB4	228	247	522	535
CPLX1	49	52	3420	3974
CPLX2	264	263	9025	9896
CPLX3	5	3	217	282
CPLX4	1	1	7	7
CPM	127	119	65	76
CPN1	25	30	1	1
CPN2	85	74	2	2
CPNE1	1257	1347	314	357
CPNE2	240	262	284	309
CPNE3	488	488	128	146
CPNE4	4	6	98	97
CPNE5	21	22	475	502
CPNE6	2	3	475	530
CPNE7	474	502	100	105
CPNE8	46	39	46	45
CPNE9	2	6	202	210
CPO	1	3	5	6
CPOX	398	431	173	194
CPPED1	232	221	116	119
CPS1	1628	1669	17	19
CPSF1	1709	1805	758	803
CPSF2	284	297	77	86
CPSF3	314	288	62	59
CPSF3L	784	804	630	671
CPSF4	444	449	156	218
CPSF4L	2	1	1	3
CPSF6	532	590	296	322
CPSF7	952	959	508	591
CPT1A	555	594	193	253
CPT1B	9	14	6	15
CPT1C	37	35	443	475
CPT2	214	190	53	67
CPVL	140	159	28	23
CPXM1	317	314	8	5
CPXM2	22	14	30	46
CPZ	232	237	12	18
CR1	1	2	3	3
CR1L	8	11	1	1
CR2	27	38	2	1
CRABP1	199	181	63	63
CRABP2	668	733	29	37
CRADD	57	67	36	42
CRAMP1L	410	476	408	489
CRAT	418	397	459	556
CRB1	3	2	85	86
CRB2	55	52	416	446
CRB3	31	27	2	3
CRBN	119	121	155	161
CRCP	188	208	157	166
CREB1	187	191	133	130
CREB3	176	182	237	242
CREB3L1	149	162	26	40
CREB3L2	605	661	107	95
CREB3L3	18	24	3	10
CREB3L4	82	124	20	14
CREB5	72	89	133	149
CREBBP	914	1012	1029	1151
CREBL2	173	184	290	343
CREBZF	693	684	422	465
CREG1	659	637	188	189
CREG2	23	24	241	261
CRELD1	297	336	591	681
CRELD2	317	271	129	163
CREM	146	154	54	79
CRH	2	1	17	23
CRHBP	4	4	23	32
CRHR1	2	1	205	220
CRHR2	3	1	16	17
CRIM1	494	524	435	460
CRIP1	220	255	15	20
CRIP2	651	674	877	949
CRIP3	14	5	20	17
CRIPAK	189	195	103	114
CRIPT	36	48	55	56
CRISP3	8	9	1	1
CRISPLD1	39	35	29	27
CRISPLD2	65	69	76	75
CRK	271	316	219	253
CRKL	1311	1358	807	931
CRLF1	442	470	128	131
CRLF3	103	107	52	52
CRLS1	264	243	99	103
CRMP1	108	97	1204	1295
CRNKL1	179	189	86	86
CRNN	1	1	1	3
CROCC	270	293	364	450
CROCCL1	255	247	259	311
CROCCL2	58	52	107	141
CROT	49	75	20	27
CRSP8P	38	33	17	14
CRTAC1	14	17	262	291
CRTAM	1	1	152	179
CRTAP	1453	1499	457	555
CRTC1	311	352	2030	2348
CRTC2	381	379	249	304
CRTC3	462	511	345	373
CRX	6	2	1	1
CRY1	168	163	123	128
CRY2	276	289	1086	1204
CRYAA	43	38	1	2
CRYAB	29	25	2622	2735
CRYBA1	2	1	1	1
CRYBA2	1	2	6	6
CRYBA4	2	5	1	1
CRYBB1	10	9	3	5
CRYBB2	3	4	3	3
CRYBB2P1	52	49	44	43
CRYBB3	3	3	1	4
CRYBG3	19	28	21	21
CRYGA	1	1	1	3
CRYGD	1	1	3	4
CRYGN	1	1	2	3
CRYGS	10	6	12	15
CRYL1	156	170	291	328
CRYM	3	9	500	576
CRYZ	114	111	30	36
CRYZL1	49	45	59	60
CS	994	1069	544	550
CSAD	135	153	146	162
CSAG1	61	93	1	3
CSDA	1657	1608	220	209
CSDAP1	221	228	18	34
CSDC2	8	9	624	704
CSDE1	3403	3738	1296	1391
CSE1L	1004	1008	228	256
CSF1	205	222	140	176
CSF1R	3	3	190	246
CSF2	3	2	1	1
CSF2RB	40	55	9	12
CSF3	3	4	9	4
CSF3R	27	49	39	46
CSGALNACT1	126	124	134	150
CSGALNACT2	64	55	37	56
CSK	1000	968	337	370
CSMD1	27	31	182	189
CSMD2	29	26	150	157
CSMD3	3	6	52	45
CSN1S1	1	1	2	1
CSNK1A1	635	609	387	446
CSNK1A1L	24	29	12	18
CSNK1A1P	18	18	9	15
CSNK1D	886	853	444	533
CSNK1E	1262	1320	952	1050
CSNK1G1	154	184	54	59
CSNK1G2	1080	1109	630	701
CSNK1G3	127	133	67	70
CSNK2A1	398	385	141	164
CSNK2A1P	155	163	51	42
CSNK2A2	286	321	98	121
CSNK2B	1169	1175	338	450
CSPG4	1609	1546	323	333
CSPG5	55	54	473	549
CSPP1	82	93	43	47
CSRNP1	269	268	173	191
CSRNP2	219	254	305	296
CSRNP3	1	1	203	221
CSRP1	882	960	2652	2893
CSRP2	79	83	24	33
CSRP2BP	91	112	130	142
CSRP3	1	2	1	2
CST1	8	8	1	1
CST2	29	39	1	1
CST3	2194	2143	6023	6862
CST4	2	2	1	2
CST5	2	1	1	1
CST6	1	1	4	7
CST7	5	3	4	4
CST8	2	1	1	1
CSTA	5	8	1	2
CSTB	1141	1322	260	303
CSTF1	340	375	79	109
CSTF2	227	214	58	63
CSTF2T	323	353	235	285
CSTF3	162	170	65	73
CT45A5	6	4	1	1
CT47B1	1	1	4	7
CT62	1	1	2	1
CTAG2	5	3	2	1
CTAGE1	4	5	1	1
CTAGE5	91	125	35	27
CTBP1	1643	1637	1725	2002
CTBP2	194	214	177	177
CTBS	55	51	15	16
CTCF	605	621	275	356
CTCFL	117	124	1	1
CTDP1	331	315	171	171
CTDSP1	774	817	239	243
CTDSP2	1015	1034	740	744
CTDSPL	323	319	180	190
CTDSPL2	168	198	47	61
CTF1	15	14	18	23
CTGF	1014	1056	173	209
CTH	25	44	16	14
CTHRC1	70	63	5	6
CTLA4	13	7	1	1
CTNNA1	1893	1930	855	1020
CTNNA2	23	22	571	630
CTNNA3	2	2	41	51
CTNNAL1	265	266	13	26
CTNNB1	3699	3920	1559	1765
CTNNBIP1	335	337	467	501
CTNNBL1	350	382	126	118
CTNND1	1125	1225	370	465
CTNND2	94	77	1896	2128
CTNS	190	174	63	70
CTPS	579	574	75	79
CTPS2	150	184	52	58
CTR9	291	294	114	134
CTRB1	1	1	1	3
CTRL	20	17	20	14
CTSA	1116	1137	444	487
CTSB	3525	3604	2010	2221
CTSC	667	763	51	46
CTSD	5091	5169	3067	3304
CTSE	2	5	1	1
CTSF	223	270	929	1017
CTSG	3	4	1	1
CTSH	327	357	125	124
CTSK	45	42	23	22
CTSL1	780	808	244	242
CTSL2	98	110	2	2
CTSO	28	26	31	40
CTSS	82	78	31	27
CTSW	4	5	1	4
CTSZ	851	879	479	537
CTTN	1819	1867	896	997
CTTNBP2	40	62	157	155
CTTNBP2NL	117	129	104	119
CTU1	177	151	90	91
CTU2	218	216	81	129
CTXN1	294	322	1361	1609
CTXN2	1	1	17	20
CTXN3	1	1	25	31
CUBN	22	21	7	17
CUEDC1	159	172	165	181
CUEDC2	318	288	384	391
CUL1	509	496	288	311
CUL2	144	150	97	121
CUL3	373	408	265	290
CUL4A	652	698	160	179
CUL4B	265	285	139	160
CUL5	154	175	102	129
CUL7	770	829	308	368
CUL9	456	454	417	478
CUTA	798	942	436	501
CUTC	88	94	27	40
CUX1	535	519	623	642
CUX2	10	15	213	234
CUZD1	5	1	3	2
CWC15	135	174	89	82
CWC22	91	120	40	39
CWC25	116	120	64	76
CWC27	116	129	58	51
CWF19L1	99	132	73	80
CWF19L2	50	72	32	36
CX3CL1	205	198	664	722
CX3CR1	109	138	55	58
CXADR	66	58	21	23
CXADRP2	2	4	1	1
CXADRP3	1	2	1	1
CXCL1	39	30	6	3
CXCL10	1	3	1	1
CXCL11	1	2	1	2
CXCL12	123	127	52	58
CXCL13	1	1	1	2
CXCL14	26	29	174	220
CXCL16	189	213	60	75
CXCL17	1	2	1	1
CXCL2	8	7	5	4
CXCL3	28	24	1	1
CXCL5	3	1	4	6
CXCL6	2	2	3	1
CXCL9	1	3	3	3
CXCR1	1	1	2	5
CXCR2	2	1	2	4
CXCR2P1	2	1	1	1
CXCR3	3	7	3	1
CXCR4	356	433	29	40
CXCR5	6	3	1	2
CXCR6	1	2	1	1
CXCR7	121	120	69	55
CXXC1	613	593	463	518
CXXC4	8	4	7	8
CXXC5	428	425	823	1059
CXorf1	1	1	9	13
CXorf21	1	2	2	2
CXorf23	39	39	44	37
CXorf26	71	76	30	29
CXorf27	1	3	1	1
CXorf36	1	1	74	74
CXorf38	108	130	43	44
CXorf40A	42	50	39	41
CXorf40B	97	96	54	79
CXorf42	4	9	5	3
CXorf48	7	2	1	2
CXorf56	66	81	43	43
CXorf57	21	17	12	28
CXorf61	6	7	1	1
CXorf64	1	1	3	1
CXorf65	6	8	1	1
CYB561	460	497	235	247
CYB561D1	120	132	147	176
CYB561D2	118	120	50	45
CYB5A	155	155	78	102
CYB5B	636	725	286	281
CYB5D1	137	167	120	133
CYB5D2	141	140	168	181
CYB5R1	179	195	140	150
CYB5R2	40	32	50	55
CYB5R3	2179	2248	1053	1176
CYB5R4	29	31	24	17
CYB5RL	75	59	17	18
CYBA	1300	1269	92	116
CYBASC3	412	463	104	92
CYBB	180	182	34	36
CYBRD1	195	206	131	149
CYC1	1583	1516	725	815
CYCS	258	327	230	263
CYCSP52	1	1	1	2
CYFIP1	781	835	329	373
CYFIP2	655	661	2413	2611
CYGB	164	132	212	233
CYHR1	391	370	486	484
CYLD	129	145	277	342
CYMP	2	2	3	1
CYP11A1	26	25	14	14
CYP17A1	5	3	4	7
CYP19A1	16	30	1	1
CYP1A1	20	24	6	3
CYP1A2	1	2	1	1
CYP1B1	111	103	75	73
CYP20A1	60	71	46	45
CYP21A2	8	4	6	5
CYP24A1	113	106	1	4
